name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
Sattvam,No,No,4.3,359,JP Nagar,Casual Dining,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani","North Indian, South Indian","1,200",Delivery
Kesariya,No,Yes,4.2,1216,JP Nagar,Casual Dining,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",Rajasthani,"1,200",Delivery
Baba Chatkora,No,No,0,0,JP Nagar,Casual Dining,"Dal Makhani, Thali, Matka Lassi",North Indian,"1,000",Delivery
Nandhana Palace,No,Yes,4.3,1079,JP Nagar,"Casual Dining, Bar","Bamboo Chicken, Chicken Guntur, Mutton Bone Soup, Chicken Boneless Biryani, Hyderabadi Biryani, Chicken Kshatriya, Vegetable Biryani","Andhra, Biryani, North Indian, Chinese",800,Delivery
Narmadha's Hyderabad Biriyani,No,No,3.9,205,BTM,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani","Biryani, North Indian, Andhra",550,Delivery
Coastal Mama,No,Yes,4.1,468,JP Nagar,Casual Dining,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Vegetable Biryani","Konkan, Mangalorean, North Indian, Seafood",700,Delivery
Tasty Bites,Yes,No,3.8,217,JP Nagar,Quick Bites,"Paratha, Kheer, Lassi, Buttermilk, Paneer Bhurji, Custard, Bhindi Masala",North Indian,450,Delivery
Sri Lakshmi Curries & Pickles,No,No,2.9,60,JP Nagar,Quick Bites,NA,"Andhra, Biryani",400,Delivery
Royal Chef Naati Oota,No,No,4.0,194,JP Nagar,Casual Dining,"Chicken Biryani, Donne Biryani, Chilli Chicken, Mutton Chops, Paratha, Mutton Biryani, Nati Biryani","South Indian, Biryani, North Indian",500,Delivery
Keshava Kabab Centre,No,No,3.2,7,JP Nagar,Quick Bites,NA,North Indian,200,Delivery
NEW SUNRISE RESTAURANTS,No,No,2.7,39,JP Nagar,Casual Dining,Tandoori Chicken,"North Indian, Chinese, Biryani",500,Delivery
The Maori - Aurick Boutique Hotel,No,No,3.5,44,JP Nagar,Casual Dining,NA,"Chinese, North Indian","1,000",Delivery
Sea Horse,No,No,3.4,9,JP Nagar,Casual Dining,NA,"Seafood, Chinese, South Indian, North Indian",500,Delivery
Nati Biriyani Mane,No,No,3.2,4,JP Nagar,"Takeaway, Delivery",NA,"Biryani, South Indian",200,Delivery
North Indian Meals,No,No,3.2,5,JP Nagar,"Takeaway, Delivery",NA,North Indian,300,Delivery
Chilli N Chicken,No,No,3.2,4,JP Nagar,Quick Bites,NA,Andhra,400,Delivery
Uttara Karanataka Mess,No,No,3.3,5,JP Nagar,Mess,NA,South Indian,200,Delivery
Swad Restaurant,Yes,No,3.7,115,BTM,Casual Dining,"Thali, Paratha, Dal Kichadi","Chinese, North Indian",550,Delivery
Sri's Kitchen,No,No,0,0,JP Nagar,Takeaway,NA,"North Indian, South Indian, Chinese",300,Delivery
Status,No,No,3.3,67,Bannerghatta Road,Casual Dining,Prompt Service,"North Indian, Chinese",600,Delivery
Combo Box,Yes,No,3.0,20,Koramangala 7th Block,"Takeaway, Delivery",NA,"North Indian, Biryani, Chinese",500,Delivery
